calfID,cowID,DOB,calf_died,AI,Preg_loss,Twin,No_breed,Group
23006,21001,2023-03-14,,1,,,,heifers
23002,21002,2023-03-07,,1,,,,heifers
23069,21005,2023-03-25,,2,,,,heifers
23022,21010,2023-03-19,,2,,,,heifers
23088,21011,2023-03-30,,2,,,,heifers
23205,21014,2023-04-23,,2,,,,heifers
23021,21018,2023-03-20,,1,,,,heifers
,21019,,,0,,,,heifers
23023,21026,2023-03-16,,1,,,,heifers
23139,21030,2023-04-08,,2,,,,heifers
23097,21031,2023-03-31,,2,,,,heifers
23207,21032,2023-04-24,,2,,,,heifers
23100,21038,2023-04-02,,1,,,,heifers
23077,21040,2023-03-28,,2,,,,heifers
23086,21042,2023-03-30,,2,,,,heifers
23008,21043,2023-03-13,,1,,,,heifers
23106,21048,2023-04-02,,2,,,,heifers
23122,21053,2023-04-04,,2,,,,heifers
23252,21055,2023-05-17,,2,,,,heifers
23027,21056,2023-03-20,,1,,,,heifers
23193,21058,2023-04-20,,2,,,,heifers
23130,21062,2023-04-06,,2,,,,heifers
,21065,,,0,,,,heifers
23070,21069,2023-03-25,,2,,,,heifers
23129,21071,2023-04-06,,2,,,,heifers
23024,21072,2023-03-17,,1,,,,heifers
23075,21078,2023-03-28,,2,,,,heifers
23165,21088,2023-04-17,,2,,,,heifers
,21089,,,0,,,,heifers
,21098,,,0,,,,heifers
23270,21100,2023-05-23,,2,,,,heifers
,21103,,,0,,,,heifers
23098,21106,2023-04-02,,2,,,,heifers
23253,21111,2023-05-17,,2,,,,heifers
23214,21116,2023-04-27,,2,,,,heifers
23026,21118,2023-03-15,,1,,,,heifers
23138,21119,2023-04-09,,2,,,,heifers
23166,21121,2023-04-17,,2,,,,heifers
23154,21125,2023-04-12,,2,,,,heifers
23005,21126,2023-03-11,,1,,,,heifers
23998,21129,2023-03-11,1,1,,,,heifers
23213,21140,2023-04-27,,2,,,,heifers
23059,21142,2023-03-22,,1,,,,heifers
23010,21143,2023-03-12,,1,,,,heifers
23105,21145,2023-04-02,,2,,,,heifers
23058,21146,2023-03-22,,1,,,,heifers
23025,21148,2023-03-17,,1,,,,heifers
23003,21149,2023-03-09,,1,,,,heifers
23137,21150,2023-04-09,,2,,,,heifers
,21157,,,0,,,,heifers
23018,21158,2023-03-15,1,1,,,,heifers
23011,21159,2023-03-11,,1,,,,heifers
23119,21161,2023-04-03,,2,,,,heifers
23019,21162,2023-03-15,,1,,,,heifers
23007,21164,2023-03-12,,1,,,,heifers
23099,21166,2023-04-02,,2,,,,heifers
23206,21169,2023-04-24,,2,,,,heifers
23009,21172,2023-03-11,,1,,,,heifers
,21179,,,0,,,,heifers
23076,21184,2023-03-28,,2,,,,heifers
23087,21187,2023-03-30,,2,,,,heifers
23240,21190,2023-05-09,,2,,,,heifers
23121,21193,2023-04-04,,2,,,,heifers
23120,21201,2023-04-04,,2,,,,heifers
23128,21212,2023-04-05,,2,,,,heifers
23113,20004,2023-04-04,0,2,,,,threes
23096,20006,2023-04-02,0,2,,,1,threes
,20007,,,,,,1,threes
23014,20008,2023-03-11,1,1,,,,threes
23013,20010,2023-03-12,0,1,,,,threes
23999,20017,2023-03-10,1,1,,,,threes
23994,20021,2023-03-18,1,1,,,,threes
23032,20023,2023-03-16,0,1,,,,threes
23136,20032,2023-04-06,0,2,,,,threes
23997,20033,2023-03-13,1,1,,,,threes
23030,20037,2023-03-13,0,1,,,,threes
23223,20040,2023-04-30,0,2,,,,threes
23222,20041,2023-05-01,0,2,,,1,threes
23040,20048,2023-03-20,0,1,,,,threes
23992,20050,2023-05-05,1,2,,,,threes
23134,20052,2023-04-06,0,2,,,1,threes
23249,20056,2023-05-15,0,2,,,,threes
23151,20059,2023-04-10,0,2,,,1,threes
23996,20060,2023-03-13,1,1,,,,threes
,20064,,0,2,,,1,threes
,20067,,,0,,,,threes
23117,20069,2023-04-04,0,2,,,,threes
23004,20070,2023-03-09,0,1,,,,threes
23017,20072,2023-03-15,0,1,,,,threes
23089,20074,2023-03-30,0,2,,,,threes
23095,20075,2023-04-02,0,2,,,,threes
23125,20078,2023-04-05,0,2,,,,threes
23116,20080,2023-04-04,0,2,,,,threes
23140,20081,2023-04-09,0,2,,,,threes
23115,20082,2023-04-04,0,2,,,1,threes
23194,20084,2023-04-22,0,2,,,,threes
,20093,,,0,,,,threes
23016,20097,2023-03-13,0,1,,,,threes
23015,20102,2023-03-12,1,1,,,,threes
23029,20106,2023-03-14,0,1,,,,threes
23012,20107,2023-03-11,0,1,,,,threes
23031,20119,2023-03-16,0,1,,,,threes
23114,20121,2023-04-04,0,2,,,,threes
23152,20125,2023-04-10,0,2,,,,threes
,20130,,0,,1,,1,threes
,20131,,,0,,,,threes
,20135,,,0,,,,threes
23126,20137,2023-04-05,0,2,,,,threes
23215,20140,2023-04-28,0,2,,,,threes
,20141,,,,1,,,threes
23028,20149,2023-03-16,0,1,,,,threes
,20156,,,0,,,,threes
23001,20158,2023-03-07,0,1,,,,threes
,20175,,,0,,,,threes
23995,20180,2023-03-13,1,1,,,,threes
23135,20183,2023-04-06,0,2,,,,threes
,20195,,,0,,,,threes
23171,20198,2023-04-16,0,2,,,,threes
,20211,,,0,,,,threes
,20214,,,0,,,1,threes
23993,20216,2023-04-04,1,2,,,,threes
23251,20219,2023-05-12,0,2,,,,threes
,20220,,,0,,,,threes
23039,20236,2023-03-21,0,1,,,,threes
23057,18002,2023-03-22,,2,,,,youngs
23050,18003,2023-03-15,,1,,,,youngs
,18004,,,0,,,,youngs
23046,18010,2023-03-21,,1,,,,youngs
23192,18035,2023-04-21,,2,,,,youngs
23141,18038,2023-04-07,,2,,,,youngs
,18043,,,,1,,1,youngs
23161,18044,2023-04-13,,2,,,,youngs
23083,18050,2023-03-30,,1,,,,youngs
23049,18051,2023-03-20,,1,,,,youngs
23162,18054,2023-04-13,,2,,,,youngs
23062,18056,2023-03-22,,1,,,,youngs
23233,18061,2023-05-07,,2,,,,youngs
23244,18068,2023-05-11,,2,,,,youngs
23044,18075,2023-03-17,,1,,,,youngs
23091,18087,2023-03-31,,2,,,,youngs
23150,18092,2023-04-10,,2,,,,youngs
23245,18116,2023-05-11,,2,,,,youngs
23174,18119,2023-04-14,,2,,,,youngs
23147,18120,2023-04-07,,2,,,,youngs
23155,18121,2023-04-12,,2,,,,youngs
23060,18124,2023-03-22,,1,,,,youngs
23051,18132,2023-03-16,,1,,,,youngs
,18134,,,0,,,,youngs
23064,18135,2023-03-18,,1,,,,youngs
23246,18137,2023-05-12,,2,,,,youngs
23262,18140,2023-05-20,,2,,,,youngs
23184,18144,2023-04-19,,2,,,,youngs
23231,18154,2023-05-07,,2,,,,youngs
23250,18172,2023-05-15,,2,,,,youngs
23157,18174,2023-04-12,,2,,,,youngs
23055,18176,2023-03-21,,1,,,,youngs
23274,18178,2023-05-27,,2,,,,youngs
23235,18185,2023-05-05,,2,,,,youngs
23061,18188,2023-03-22,,1,,,,youngs
23159,18197,2023-04-12,,2,,,,youngs
23052,18198,2023-03-21,,1,,,,youngs
23173,18202,2023-04-16,,2,,,,youngs
23234,18224,2023-05-07,,2,,,,youngs
,18225,,,,1,,,youngs
,18226,,,,1,,,youngs
,18227,,,,1,,,youngs
23043,18235,2023-03-21,,2,,,,youngs
23195,18240,2023-04-23,,2,,,1,youngs
23258,18266,2023-05-17,,2,,,,youngs
23175,18269,2023-04-17,,2,,,,youngs
23232,19004,2023-05-07,,2,,,,youngs
23090,19006,2023-03-30,,2,,,,youngs
,19007,,,,1,,,youngs
23216,19010,2023-04-27,,2,,,,youngs
,19016,,,0,,,,youngs
23220,19017,2023-04-30,,2,,,,youngs
