calfID,cowID,DOB,calf_died,AI,Preg_loss,Twin,No_breed,Group
,6678,,,0,,,1,falls
21348,8481,2021-10-14,,2,,,1,falls
21294,8482,2021-09-17,,1,,,,falls
21272,8527,2021-09-09,,1,,,,falls
21286,8839,2021-09-14,,1,,,,falls
21355,9025,2021-10-30,,2,,,,falls
,9241,,,0,,,,falls
,10013,,,0,,,,falls
21267,10053,2021-09-09,,1,,,,falls
21246,10109,2021-09-02,,1,,,,falls
21288,10233,2021-09-11,,1,,,,falls
21295,10347,2021-09-17,,1,,,,falls
21285,10371,2021-09-07,,1,,,,falls
21328,10401,2021-10-01,,2,,,,falls
21281,10451,2021-09-10,,1,,,,falls
21304,11031,2021-09-23,,2,,,,falls
21248,11047,2021-09-03,,1,,,,falls
,11135,,,0,,,1,falls
,12097,,,0,,,,falls
,12109,,,,1,,,falls
21253,12121,2021-09-05,,1,,,,falls
,12167,,,0,,,1,falls
21347,12185,2021-10-11,,2,,,,falls
,12195,,,0,,,,falls
21341,12245,2021-10-03,,2,,,1,falls
21349,12261,2021-10-15,,2,,,1,falls
,12373,,,0,,,,falls
21351,12415,2021-10-24,,2,,,,falls
21277,13049,2021-09-11,,1,,,,falls
21290,13051,2021-09-15,,1,,,,falls
21356,13097,2021-11-01,,2,,,1,falls
21325,13105,2021-09-27,,2,,,1,falls
21300,13131,2021-09-21,,2,,,,falls
21270,13143,2021-09-09,,1,,,,falls
21249,13169,2021-09-03,,1,,,,falls
21310,13201,2021-09-26,,2,,,,falls
21330,13213,2021-10-04,,2,,,,falls
21336,13373,2021-10-05,,2,,,,falls
21282,13391,2021-09-13,,1,,,,falls
21352,14037,2021-10-23,,2,,,,falls
21354,14061,2021-10-29,,2,,,,falls
21301,14079,2021-09-22,,,,1,,falls
21319,14079,2021-09-22,,2,,,,falls
21292,14083,2021-09-17,,1,,,,falls
21345,14091,2021-10-08,,2,,,,falls
21344,14095,2021-10-07,,2,,,,falls
21252,14099,2021-09-05,,1,,,,falls
21255,14149,2021-09-06,,1,,,,falls
21343,14179,2021-10-06,,2,,,,falls
21245,14217,2021-08-31,,1,,,,falls
21334,14229,2021-10-02,,2,,,,falls
21327,14267,2021-10-01,,2,,,1,falls
,14309,,,0,,,1,falls
21263,14331,2021-09-08,,1,,,,falls
21337,14345,2021-10-05,,2,,,,falls
21254,14347,2021-09-07,,1,,,,falls
,14353,,,0,,,,falls
21331,14359,2021-10-03,,2,,,,falls
21259,14363,2021-09-07,,1,,,,falls
21278,14373,2021-09-09,,1,,,,falls
21313,14377,2021-09-28,,2,,,,falls
21321,14389,2021-09-27,,2,,,,falls
21271,14399,2021-09-08,,1,,,,falls
21299,14417,2021-09-20,,2,,,,falls
21303,14459,2021-09-22,,2,,,,falls
21279,14465,2021-09-11,,1,,,,falls
21357,14479,2021-10-31,,2,,,,falls
21269,15033,2021-09-10,,1,,,,falls
21358,15065,2021-11-02,1,2,,,1,falls
21251,15087,2021-09-04,,1,,,,falls
21276,15115,2021-09-10,,1,,,,falls
21265,15129,2021-09-09,,1,,,,falls
21333,15149,2021-10-02,,2,,,,falls
21264,15151,2021-09-09,,,,1,,falls
21899,15151,2021-09-09,1,1,,,,falls
21332,15197,2021-10-03,,2,,,,falls
21260,15205,2021-09-08,,1,,,,falls
21287,15209,2021-09-15,,1,,,,falls
21296,15269,2021-09-16,,1,,,,falls
21262,15331,2021-09-08,,1,,,,falls
,15355,,,,1,,,falls
,15407,,,0,,,,falls
21280,15469,2021-09-10,,1,,,,falls
21274,15471,2021-09-07,,1,,,,falls
21338,15485,2021-10-06,,2,,,,falls
21291,15511,2021-09-16,,1,,,,falls
21307,15515,2021-09-25,,2,,,,falls
21302,16027,2021-09-22,,2,,,,falls
21353,16045,2021-11-01,,2,,,,falls
21283,16047,2021-09-11,,1,,,,falls
21308,16097,2021-09-26,,2,,,,falls
21266,16145,2021-09-08,,1,,,,falls
21316,16197,2021-09-26,,2,,,,falls
21311,16205,2021-09-24,1,2,,,,falls
,16233,,,2,,,1,falls
,16249,,,0,,,,falls
21273,16303,2021-09-09,,1,,,,falls
,16307,,,,1,,,falls
21297,16329,2021-09-16,,1,,,,falls
21324,16345,2021-09-30,,2,,,,falls
21293,16363,2021-09-17,,1,,,,falls
,16367,,,2,,,,falls
21314,16421,2021-09-28,,2,,,,falls
21298,16425,2021-09-19,,2,,,,falls
21305,16463,2021-09-24,,,,1,,falls
21306,16463,2021-09-24,,2,,,,falls
,16475,,,2,,,,falls
21312,16477,2021-09-27,,2,,,,falls
21289,16495,2021-09-15,,1,,,,falls
,16533,,,0,,,,falls
21261,17010,2021-09-09,,1,,,,falls
21342,17022,2021-10-06,,2,,,,falls
21256,17050,2021-09-07,,1,,,,falls
,17055,,,0,,,,falls
