calfID,cowID,DOB,calf_died,AI,Preg_loss,Twin,No_breed,Group
,8481,,,0,,,,falls
,8839,,,,1,,1,falls
23346,10053,2023-09-25,,2,,,1,falls
23340,10109,2023-09-20,,2,,,,falls
,10233,,,0,,,1,falls
,10401,,,,,,,falls
23301,10451,2023-09-04,,1,,,,falls
23368,11031,2023-10-10,,2,,,1,falls
,11047,,,0,,,1,falls
23280,12121,2023-08-29,,1,,,,falls
23360,12185,2023-09-29,,2,,,1,falls
,12245,,,0,,,,falls
,12261,,,0,,,1,falls
,12415,,,,1,,1,falls
23357,13049,2023-10-01,,2,,,,falls
,13097,,,0,,,,falls
23356,13105,2023-09-30,,2,,,,falls
,13131,,,,1,,,falls
23367,13143,2023-10-08,,2,,,,falls
23371,13169,2023-10-13,,2,,,1,falls
23332,13201,2023-09-19,,2,,,1,falls
,13213,,,0,,,1,falls
23306,13391,2023-09-06,,1,,,,falls
,14037,,,0,,,,falls
23296,14061,2023-09-02,,1,,,,falls
23353,14079,2023-09-26,,2,,,,falls
23282,14083,2023-08-30,,1,,,,falls
,14091,,,0,,,,falls
23295,14095,2023-09-03,,1,,,,falls
23290,14099,2023-09-02,,1,,,,falls
23305,14149,2023-09-04,,1,,,,falls
23288,14217,2023-09-02,,1,,,,falls
23348,14229,2023-09-24,,2,,,,falls
23319,14267,2023-09-08,,1,,,,falls
,14331,,,,1,,1,falls
23363,14345,2023-10-04,,2,,,,falls
,14347,,,,1,,,falls
23324,14359,2023-09-12,,2,,,,falls
,14363,,,,1,,,falls
23289,14373,2023-09-01,,1,,,,falls
23323,14377,2023-09-09,,1,,,,falls
23283,14389,2023-08-30,,1,,,,falls
23330,14399,2023-09-19,,2,,,1,falls
23312,14417,2023-09-07,,1,,,,falls
23361,14465,2023-10-01,,2,,,,falls
,14479,,,0,,,,falls
23298,15033,2023-09-03,,1,,,,falls
23287,15065,2023-09-01,,1,,,,falls
,15115,,,0,,,,falls
23299,15129,2023-09-03,1,,,,,falls
23302,15129,2023-09-04,,1,,,,falls
23376,15149,2023-10-31,,2,,,,falls
23292,15151,2023-09-03,,1,,,,falls
,15197,,,,1,,,falls
23365,15205,2023-10-04,,2,,,,falls
23352,15209,2023-09-27,,2,,,,falls
23314,15269,2023-09-05,,1,,,,falls
23375,15283,2023-10-23,,2,,,,falls
23304,15331,2023-09-05,,1,,,,falls
23310,15355,2023-09-04,,1,,,,falls
23349,15469,2023-09-22,,2,,,1,falls
23315,15471,2023-09-08,,1,,,,falls
23329,15485,2023-09-16,,2,,,,falls
23355,15515,2023-10-01,,2,,,,falls
23372,16027,2023-10-15,,2,,,,falls
,16045,,,0,,,,falls
23309,16047,2023-09-06,,1,,,,falls
23335,16145,2023-09-21,,2,,,,falls
,16197,,,0,,,1,falls
23284,16205,2023-08-31,1,1,,,,falls
23326,16233,2023-09-12,,2,,,,falls
23293,16307,2023-09-02,,1,,,,falls
23325,16319,2023-09-12,,2,,,,falls
23321,16329,2023-09-11,,1,,,,falls
23297,16345,2023-09-03,,1,,,,falls
23303,16363,2023-09-06,,1,,,,falls
23316,16367,2023-09-08,,1,,,,falls
23308,16421,2023-09-05,,1,,,,falls
23322,16425,2023-09-11,,1,,,,falls
23337,16463,2023-09-21,,2,,,,falls
23341,16495,2023-09-22,,2,,,,falls
23281,17010,2023-08-31,,1,,,,falls
23331,17022,2023-09-19,,2,,,1,falls
23300,17050,2023-09-06,,1,,,,falls
23291,17071,2023-09-03,,1,,,,falls
23318,17076,2023-09-10,,1,,,,falls
23338,17103,2023-09-21,,2,,,,falls
23350,17151,2023-09-25,,2,,,,falls
23351,17160,2023-09-25,,2,,,,falls
23370,17167,2023-10-12,,2,,,,falls
,17209,,,,1,,,falls
23369,18004,2023-10-11,,2,,,,falls
23373,18053,2023-10-19,,2,,,1,falls
23285,18062,2023-09-01,,1,,,,falls
23342,18101,2023-09-23,,2,,,,falls
,18134,,,,1,,,falls
23358,18146,2023-10-01,,2,,,,falls
23345,18158,2023-09-25,,2,,,,falls
23364,18171,2023-10-04,,2,,,,falls
23354,18183,2023-09-30,,2,,,,falls
23334,18195,2023-09-20,,2,,,,falls
,18199,,,,1,,,falls
23328,18217,2023-09-18,,2,,,1,falls
23294,18221,2023-09-03,,1,,,,falls
23279,19016,2023-08-29,,1,,,,falls
23277,19032,2023-08-27,,1,,,,falls
23347,19048,2023-09-23,,2,,,,falls
23359,19076,2023-10-01,,2,,,,falls
23366,19094,2023-10-03,,2,,,,falls
23343,19128,2023-09-22,,2,,,,falls
23311,19168,2023-09-07,,1,,,,falls
23339,19185,2023-09-21,,2,,,,falls
23313,19195,2023-09-05,,1,,,,falls
23336,19206,2023-09-20,,2,,,,falls
23377,19215,2023-10-25,,,,1,,falls
23377,19215,2023-10-25,,2,,,,falls
23362,19221,2023-10-02,,2,,,,falls
23307,19237,2023-09-06,,1,,,,falls
23286,20067,2023-09-01,,1,,,,falls
23344,20093,2023-09-25,,2,,,,falls
23374,20131,2023-10-23,,2,,,,falls
23327,20135,2023-09-18,,2,,,,falls
23278,20156,2023-08-27,,1,,,,falls
23317,20175,2023-09-08,,1,,,,falls
23333,20195,2023-09-18,,2,,,,falls
,20214,,,0,,,,falls
23320,20220,2023-09-10,,1,,,,falls
