calfID,cowID,DOB,calf_died,AI,Preg_loss,Twin,No_breed,Group
,18001,,,0,,,,heifers
20004,18002,2020-03-07,,1,,,,heifers
20194,18003,2020-04-29,,2,,,,heifers
20195,18004,2020-04-30,,2,,,,heifers
,18007,,,0,,,,heifers
20024,18010,2020-03-11,,1,,,,heifers
,18011,,,0,,,,heifers
,18024,,,0,,,,heifers
20999,18025,2020-03-19,1,1,,,,heifers
,18026,,,0,,,,heifers
20034,18031,2020-03-13,,1,,,,heifers
20144,18033,2020-04-06,,2,,,,heifers
20018,18035,2020-03-09,,1,,,,heifers
20007,18037,2020-03-07,,1,,,,heifers
20101,18038,2020-03-27,,1,,,,heifers
20008,18043,2020-03-08,,1,,,,heifers
20037,18044,2020-03-08,,1,,,,heifers
,18050,,,,1,,,heifers
20033,18051,2020-03-12,,1,,,,heifers
20021,18053,2020-03-10,,2,,,,heifers
20125,18054,2020-04-04,,2,,,,heifers
20006,18056,2020-03-08,,1,,,,heifers
20997,18061,2020-04-02,1,2,,,,heifers
20019,18062,2020-03-09,,1,,,,heifers
20106,18068,2020-03-27,,2,,,,heifers
20138,18071,2020-04-01,,2,,,,heifers
,18073,,,0,,,,heifers
20023,18075,2020-03-12,,2,,,,heifers
,18076,,,0,,,,heifers
20196,18082,2020-04-29,,2,,,,heifers
20223,18087,2020-05-09,,2,,,,heifers
20001,18089,2020-03-03,,1,,,,heifers
20022,18092,2020-03-11,,1,,,,heifers
20032,18093,2020-03-09,,2,,,,heifers
,18095,,,0,,,,heifers
20020,18101,2020-03-10,,1,,,,heifers
,18109,,,0,,,,heifers
20126,18116,2020-04-03,1,2,,,,heifers
20045,18119,2020-03-16,,2,,,,heifers
20121,18120,2020-03-28,,2,,,,heifers
20123,18121,2020-03-30,,2,,,,heifers
20154,18124,2020-04-09,,2,,,,heifers
20137,18132,2020-04-02,,2,,,,heifers
20153,18134,2020-04-09,,2,,,,heifers
20005,18135,2020-03-08,,1,,,,heifers
20039,18136,2020-03-13,,1,,,,heifers
20147,18137,2020-04-07,,2,,,,heifers
20152,18140,2020-04-09,,2,,,,heifers
20036,18144,2020-03-13,,1,,,,heifers
20203,18146,2020-05-02,,2,,,,heifers
20062,18154,2020-03-20,,2,,,,heifers
20078,18158,2020-03-25,,2,,,,heifers
20224,18169,2020-05-10,,2,,,,heifers
,18171,,,,1,,,heifers
20002,18172,2020-03-05,,1,,,,heifers
20129,18174,2020-04-01,,2,,,,heifers
20155,18176,2020-04-02,,2,,,,heifers
,18177,,,0,,,,heifers
20124,18178,2020-04-04,1,2,,,,heifers
20174,18183,2020-04-17,,2,,,,heifers
20079,18185,2020-03-22,,2,,,,heifers
20108,18188,2020-03-29,,2,,,,heifers
20047,18195,2020-03-16,,2,,,,heifers
20017,18197,2020-03-09,,1,,,,heifers
20107,18198,2020-03-28,,2,,,,heifers
20046,18199,2020-03-15,,1,,,,heifers
20130,18202,2020-04-04,,2,,,,heifers
,18204,,,0,,,,heifers
20003,18217,2020-03-05,,1,,,,heifers
20009,18221,2020-03-08,,2,,,,heifers
20016,18224,2020-03-09,,1,,,,heifers
20128,18225,2020-04-05,,2,,,,heifers
20186,18226,2020-04-27,,2,,,,heifers
20190,18227,2020-04-27,,2,,,,heifers
,18235,,,,1,,,heifers
20127,18240,2020-04-03,,2,,,,heifers
,18248,,,0,,,,heifers
20097,18269,2020-03-26,,2,,,,heifers
20156,18270,2020-04-12,,2,,,,heifers
20026,17275,2020-03-11,1,2,,,,threes
,17268,,,0,,,,threes
20100,17262,2020-03-26,,2,,,,threes
20080,17257,2020-03-25,,2,,,,threes
20029,17209,2020-03-11,,2,,,,threes
20042,17206,2020-03-14,,1,,,,threes
20060,17199,2020-03-19,,1,,,,threes
20030,17198,2020-03-11,,1,,,,threes
20040,17189,2020-03-16,,1,,,,threes
20111,17187,2020-03-29,,2,,,,threes
20081,17179,2020-03-25,,2,,,,threes
20048,17174,2020-03-17,,1,,,,threes
20993,17167,2020-04-18,1,1,,,,threes
20098,17161,2020-03-26,,2,,,,threes
,17160,,,0,,,,threes
20015,17154,2020-03-10,,1,,,,threes
20083,17151,2020-03-24,,2,,,,threes
20031,17140,2020-03-11,,2,,,,threes
20028,17138,2020-03-11,,1,,,,threes
20011,17129,2020-03-08,,2,,,,threes
20133,17125,2020-04-01,,2,,,,threes
,17110,,,,1,,,threes
20061,17103,2020-03-19,,1,,,,threes
20131,17102,2020-04-06,,2,,,,threes
20077,17091,2020-03-22,,1,,,,threes
20109,17090,2020-03-28,,2,,,,threes
20013,17079,2020-03-10,,1,,,,threes
20067,17076,2020-03-19,,2,,,,threes
20132,17075,2020-04-06,,2,,,,threes
20038,17071,2020-03-11,1,,,1,,threes
20027,17071,2020-03-11,,1,,,,threes
20014,17066,2020-03-09,,2,,,,threes
,17064,,,,1,,,threes
20188,17062,2020-04-25,,2,,,,threes
20185,17060,2020-04-23,,2,,,,threes
,17058,,,2,,,,threes
20025,17057,2020-03-12,,2,,,,threes
20012,17055,2020-03-08,,1,,,,threes
,17050,,,0,,,,threes
,17022,,,0,,,,threes
20112,17020,2020-03-30,1,2,,,,threes
20099,17012,,,,1,,,threes
,17010,,,0,,,,threes
20041,17007,,,,1,,,threes
20010,17004,,,,1,,,threes
20193,16533,2020-04-28,,2,,,,youngs
20074,16531,2020-03-21,,1,,,,youngs
20996,16503,2020-04-14,1,2,,,,youngs
,16477,,,0,,,,youngs
,16453,,,,1,,,youngs
20206,16431,2020-05-02,,2,,,,youngs
20239,16425,2020-05-14,,2,,,,youngs
,16421,,,0,,,,youngs
20198,16397,2020-05-01,,2,,,,youngs
,16363,,,,1,,,youngs
