calfID,cowID,DOB,calf_died,AI,Preg_loss,Twin,No_breed,Group
21094,19004,2021-03-30,,2,,,,heifers
,19006,,,,1,,,heifers
21075,19007,2021-03-26,,2,,,,heifers
21081,19010,2021-03-30,,2,,,,heifers
21019,19016,2021-03-11,,1,,,,heifers
21133,19017,2021-04-06,,2,,,,heifers
21107,19023,2021-04-04,,2,,,,heifers
21117,19028,2021-04-05,,2,,,,heifers
21086,19032,2021-03-30,,2,,,,heifers
21132,19033,2021-04-06,,2,,,,heifers
21149,19037,2021-04-15,,2,,,,heifers
21137,19039,2021-04-09,,2,,,,heifers
,19042,,,0,,,,heifers
21085,19044,2021-03-27,,2,,,,heifers
,19045,,,0,,,,heifers
21069,19048,2021-03-26,,2,,,,heifers
21049,19049,2021-03-20,,2,,,,heifers
21998,19050,2021-03-26,1,2,,,,heifers
21018,19051,2021-03-11,,1,,,,heifers
21009,19058,2021-03-09,,1,,,,heifers
21012,19061,2021-03-09,,1,,,,heifers
21006,19065,2021-03-06,,1,,,,heifers
21106,19067,2021-04-04,,2,,,,heifers
21171,19068,2021-04-23,,2,,,,heifers
21020,19070,2021-03-11,,1,,,,heifers
,19071,,,0,,,,heifers
,19073,,,0,,,,heifers
21025,19074,2021-03-11,,1,,,,heifers
21084,19076,2021-03-29,,2,,,,heifers
21104,19077,2021-04-04,,2,,,,heifers
21002,19081,2021-03-05,,1,,,,heifers
21021,19083,2021-03-11,,1,,,,heifers
21014,19085,2021-03-09,,1,,,,heifers
21999,19089,2021-02-27,1,2,,,,heifers
21102,19091,2021-04-02,,2,,,,heifers
21029,19093,2021-03-15,,1,,,,heifers
21004,19094,2021-03-06,,1,,,,heifers
21091,19096,2021-03-27,,2,,,,heifers
,19100,,,0,,,,heifers
21077,19104,2021-03-26,,2,,,,heifers
21008,19108,2021-03-09,,1,,,,heifers
21027,19112,2021-03-15,,1,,,,heifers
,19114,,,0,,,,heifers
21996,19117,2021-03-27,1,2,,,,heifers
21097,19122,2021-03-30,,2,,,,heifers
21175,19123,2021-04-24,,2,,,,heifers
21016,19125,2021-03-10,,1,,,,heifers
21040,19128,2021-03-14,,1,,,,heifers
21105,19132,2021-04-05,,2,,,,heifers
21147,19138,2021-04-14,,2,,,,heifers
21995,19140,2021-04-02,1,2,,,,heifers
21079,19141,2021-03-26,,2,,,,heifers
21083,19146,2021-03-30,,2,,,,heifers
21997,19147,2021-03-28,1,2,,,,heifers
,19149,,,0,,,,heifers
21154,19157,2021-04-19,,2,,,,heifers
,19162,,,0,,,,heifers
21011,19168,2021-03-09,,1,,,,heifers
21070,19170,2021-03-26,,2,,,,heifers
,19171,,,,1,,,heifers
21005,19175,2021-03-07,,2,,,,heifers
21176,19178,2021-04-25,,2,,,,heifers
21080,19185,2021-03-29,,2,,,,heifers
,19188,,,0,,,,heifers
21010,19189,2021-03-09,,1,,,,heifers
,19194,,,0,,,,heifers
21001,19195,2021-03-05,,1,,,,heifers
21017,19202,2021-03-10,,1,,,,heifers
21022,19204,2021-03-11,,1,,,,heifers
