calfID,cowID,DOB,calf_died,AI,Preg_loss,Twin,No_breed,Group
,3136,,,0,,,,2019
,4284,,,0,,,,2019
19335,6573,2019-10-02,,2,,,,2019
19269,6678,2019-09-05,,1,,,,2019
19312,6756,2019-09-24,,2,,,,2019
19325,7034,2019-09-30,,2,,,,2019
19893,7331,2019-10-15,1,2,,,,2019
19270,8481,2019-09-05,,1,,,,2019
19302,8482,2019-09-15,,1,,,,2019
19359,8506,2019-10-25,,2,,,,2019
19252,8527,2019-08-30,,1,,,,2019
19293,8541,2019-09-12,,1,,,,2019
19350,8606,2019-10-16,,2,,,,2019
19291,8839,2019-09-12,1,1,,,,2019
,9011,,,0,,,,2019
19331,9025,2019-10-01,,2,,,,2019
19249,9241,2019-08-26,,1,,,,2019
19338,9325,2019-10-04,,2,,,,2019
19266,10013,2019-09-02,,1,,,,2019
19251,10015,2019-08-29,,1,,,,2019
19311,10053,2019-09-24,,2,,,,2019
19317,10109,2019-09-25,,2,,,,2019
19356,10127,2019-10-25,,2,,,,2019
19899,,2019-08-08,,,,,1,2019
19898,10219,2019-08-08,,,1,1,,2019
19262,10233,2019-09-03,,1,,,,2019
19339,10249,2019-10-05,,2,,,,2019
19361,10293,2019-10-31,,2,,,,2019
19896,10345,2019-09-12,,1,,,,2019
19268,10347,2019-09-05,,1,,,,2019
19329,10371,2019-09-29,,2,,,,2019
19354,10401,2019-10-23,,2,,,,2019
19290,10451,2019-09-12,,1,,,,2019
19276,10481,2019-09-08,1,1,,,,2019
19894,10493,2019-10-14,1,2,,,1,2019
19264,11031,2019-09-04,,2,,,1,2019
,11039,,,0,,,,2019
19324,11047,2019-09-28,,2,,,,2019
,11053,,,0,,,,2019
19352,11135,2019-10-23,,2,,,,2019
19297,11151,2019-09-15,1,2,,,,2019
19358,11343,2019-10-25,,2,,,1,2019
19341,11421,2019-10-08,,2,,,,2019
19320,12097,2019-09-27,,2,,,,2019
19344,12109,2019-10-10,,2,,,,2019
19256,12121,2019-09-02,,1,,,,2019
19296,12167,2019-09-13,,2,,,1,2019
19275,12185,2019-09-08,,1,,,,2019
19272,12195,2019-09-06,,1,,,,2019
19285,12245,2019-09-08,,1,,,,2019
19281,12261,2019-09-09,,1,,,,2019
19355,12269,2019-10-23,,2,,,,2019
19336,12373,2019-10-03,,2,,,,2019
19277,12415,2019-09-09,,1,,,,2019
19897,12461,2019-09-09,1,1,,,,2019
19294,13051,2019-09-12,,2,,,,2019
,13083,,,,1,,,2019
19267,13097,2019-09-05,,1,,,,2019
19360,13105,2019-10-29,,2,,,,2019
19346,13131,2019-10-11,,2,,,,2019
19260,13133,2019-09-02,,1,,,,2019
19310,13169,2019-09-23,,2,,,,2019
,13179,,,0,,,,2019
19278,13201,2019-09-09,,1,,,,2019
19363,13213,2019-11-04,,2,,,,2019
,13343,,,0,,,1,2019
19258,13369,2019-09-02,1,1,,,,2019
19261,13373,2019-09-03,,1,,,,2019
19321,13391,2019-09-27,,2,,,,2019
19334,14007,2019-10-01,,2,,,,2019
19351,14037,2019-10-18,,2,,,,2019
19257,14079,2019-09-02,,1,,,,2019
19316,14083,2019-09-24,,2,,,1,2019
19319,14095,2019-09-26,,2,,,,2019
19299,14125,2019-09-15,,2,,,1,2019
19250,14217,2019-08-26,,1,,,,2019
19357,14229,2019-10-25,,2,,,,2019
19330,14255,2019-09-30,,2,,,,2019
19255,14267,2019-09-01,,1,,,,2019
19332,14309,2019-09-30,,2,,,1,2019
19287,14331,2019-09-10,,1,,,,2019
19300,14347,2019-09-15,,1,,,,2019
19286,14353,2019-09-09,,1,,,,2019
19307,14363,2019-09-18,,2,,,1,2019
19362,14373,2019-10-31,,2,,,,2019
19353,14377,2019-10-21,,2,,,1,2019
19315,14399,2019-09-24,,2,,,,2019
19301,14437,2019-09-15,1,2,,,1,2019
19279,14459,2019-09-09,,1,,,,2019
19284,14479,2019-09-08,,1,,,,2019
,15015,,,,1,,,2019
19265,15017,2019-09-04,,2,,,1,2019
19327,15065,2019-09-28,,2,,,1,2019
19309,15067,2019-09-20,,2,,,1,2019
,15071,,,0,,,1,2019
19349,15087,2019-10-17,,2,,,1,2019
19306,15115,2019-09-18,,2,,,1,2019
,15121,,,,1,,1,2019
19248,15149,2019-08-23,,1,,,,2019
19348,15151,2019-10-15,,2,,,1,2019
19288,15155,2019-09-10,,2,,,1,2019
19282,15197,2019-09-08,,1,,,,2019
19343,15209,2019-10-09,,2,,,1,2019
19283,15219,2019-09-08,,1,,,,2019
19253,15231,2019-08-30,,1,,,,2019
,15275,,,0,,,,2019
19347,15323,2019-10-10,,2,,,1,2019
19263,15331,2019-09-01,,1,,,,2019
19895,15365,2019-10-01,1,2,,,1,2019
,15397,,,2,,,1,2019
19328,15409,2019-09-29,,2,,,1,2019
19326,15469,2019-09-28,,2,,,1,2019
19292,16027,2019-09-12,,2,,,1,2019
19274,16031,2019-09-06,,2,,,1,2019
19314,16045,2019-09-24,,2,,,1,2019
19280,16047,2019-09-08,,2,,,1,2019
19345,16111,2019-10-10,,2,,,1,2019
19259,16117,2019-09-02,,2,,,1,2019
19305,16141,2019-09-17,,2,,,1,2019
19303,16145,2019-09-14,,2,,,1,2019
19273,16197,2019-09-06,,2,,,1,2019
19254,16205,2019-09-02,,2,,,1,2019
19289,16233,2019-09-11,,2,,,1,2019
19308,16249,2019-09-18,,2,,,1,2019
