calfID,cowID,DOB,calf_died,AI,Preg_loss,Twin,No_breed,Group
22075,20004,2022-03-23,,2,,,,heifers
22257,20006,2022-05-03,,2,,,,heifers
22077,20007,2022-03-22,,2,,,,heifers
22095,20008,2022-03-26,,2,,,,heifers
22050,20010,2022-03-17,,2,,,,heifers
22996,20017,2022-03-16,1,1,,,,heifers
22106,20021,2022-03-28,,2,,,,heifers
,20023,,,,1,,,heifers
,20024,,,0,,,,heifers
22025,20032,2022-03-13,,1,,,,heifers
,20033,,,,1,,,heifers
22011,20037,2022-03-08,,1,,,,heifers
22012,20040,2022-03-10,,1,,,,heifers
22022,20041,2022-03-13,,1,,,,heifers
22024,20048,2022-03-13,,1,,,,heifers
22009,20050,2022-03-07,,1,,,,heifers
,20051,,,0,,,,heifers
22016,20052,2022-03-11,,1,,,,heifers
,20053,,,0,,,,heifers
22999,20056,2022-03-08,1,1,,,,heifers
22264,20059,2022-05-10,,2,,,,heifers
22074,20060,2022-03-21,,2,,,,heifers
22270,20064,2022-05-14,,2,,,,heifers
22097,20067,2022-03-26,,2,,,,heifers
22026,20069,2022-03-12,,1,,,,heifers
22007,20070,2022-03-06,,1,,,,heifers
22064,20072,2022-03-16,,1,,,,heifers
22013,20074,2022-03-10,,1,,,,heifers
22076,20075,2022-03-23,,2,,,,heifers
22010,20078,2022-03-08,,1,,,,heifers
,20080,,,,1,,,heifers
22224,20081,2022-04-19,,2,,,,heifers
,20082,,,,1,,1,heifers
22019,20084,2022-03-09,,1,,,,heifers
22008,20093,2022-03-07,,1,,,,heifers
22146,20097,2022-04-01,,2,,,,heifers
,20098,,,0,,,,heifers
22073,20102,2022-03-21,,2,,,,heifers
22145,20106,2022-04-01,,2,,,,heifers
22107,20107,2022-03-28,,2,,,,heifers
22023,20119,2022-03-12,,1,,,,heifers
22250,20121,2022-04-30,,2,,,,heifers
,20123,,,0,,,,heifers
22020,20125,2022-03-11,,1,,,,heifers
22259,20130,2022-05-04,,2,,,,heifers
22018,20131,2022-03-10,,1,,,,heifers
22144,20135,2022-04-02,,2,,,,heifers
22186,20137,2022-04-11,,2,,,,heifers
22993,20140,2022-03-26,1,2,,,,heifers
22072,20141,2022-03-22,,2,,,,heifers
22017,20149,2022-03-10,,1,,,,heifers
22006,20156,2022-03-05,,2,,,,heifers
22219,20158,2022-04-17,,2,,,,heifers
,20167,,,0,,,,heifers
22170,20175,2022-04-10,,2,,,,heifers
,20180,,,,1,,,heifers
22241,20183,2022-04-23,,2,,,,heifers
22220,20195,2022-04-15,,2,,,,heifers
22096,20198,2022-03-25,,2,,,,heifers
22123,20211,2022-03-29,,2,,,,heifers
22265,20214,2022-05-10,,2,,,,heifers
22108,20216,2022-03-28,,2,,,,heifers
22021,20219,2022-03-13,,1,,,,heifers
22246,20220,2022-04-26,,2,,,,heifers
,20222,,,0,,,,heifers
,20236,,,,1,,,heifers
22136,19004,2022-04-01,,2,,,,threes
22141,19006,2022-04-02,,2,,,,threes
22036,19007,2022-03-09,,1,,,,threes
22027,19010,2022-03-10,,1,,,,threes
22221,19016,2022-04-17,,2,,,,threes
22140,19017,2022-04-01,,1,,,,threes
22998,19023,2022-03-11,1,1,,,,threes
22137,19028,2022-04-02,,2,,,,threes
,19032,,,0,,,,threes
22152,19033,2022-04-01,,2,,,,threes
22139,19037,2022-04-01,,2,,,,threes
22119,19039,2022-03-26,,2,,,,threes
22159,19044,2022-04-04,,2,,,,threes
22256,19048,2022-04-30,,2,,,,threes
22997,19049,2022-03-11,1,1,,,,threes
22134,19050,2022-04-03,,2,,,,threes
22277,19051,2022-05-15,,2,,,,threes
22046,19058,2022-03-15,,1,,,,threes
22092,19061,2022-03-24,,2,,,,threes
22269,19065,2022-05-11,,2,,,,threes
22176,19067,2022-04-06,,2,,,,threes
22093,19068,2022-03-22,,1,,,,threes
22028,19070,2022-03-11,,1,,,,threes
22112,19074,2022-03-28,,2,,,,threes
22113,19076,2022-03-28,,2,,,,threes
22004,19077,2022-03-06,,1,,,,threes
22118,19081,2022-03-27,,2,,,,threes
22015,19083,2022-03-07,,1,,,,threes
22151,19085,2022-04-03,,2,,,,threes
22243,19089,2022-04-23,,2,,,,threes
22175,19091,2022-04-09,,2,,,,threes
22239,19093,2022-04-20,,2,,,,threes
22248,19094,2022-04-25,,2,,,,threes
22014,19096,2022-03-10,,2,,,,threes
22033,19104,2022-03-13,,1,,,,threes
22048,19108,2022-03-16,,1,,,,threes
22117,19112,2022-03-28,,2,,,,threes
22001,19117,2022-03-01,,1,,,,threes
22260,19122,2022-05-04,,2,,,,threes
22254,19123,2022-04-29,,2,,,,threes
22268,19125,2022-05-10,,2,,,,threes
22155,19128,2022-04-03,,2,,,,threes
22191,19132,2022-04-07,,2,,,,threes
22115,19138,2022-03-26,1,2,,,,threes
22133,19140,2022-04-03,,2,,,,threes
22135,19141,2022-03-30,,2,,,,threes
22222,19146,2022-04-15,,2,,,,threes
22223,19147,2022-04-15,,2,,,,threes
22157,19157,2022-04-04,,2,,,,threes
22114,19168,2022-03-28,,2,,,,threes
22154,19170,2022-04-01,,2,,,,threes
22225,19175,2022-04-18,,2,,1,,threes
22279,19178,2022-05-17,,2,,,,threes
22003,19185,2022-03-04,,1,,,,threes
22150,19189,2022-04-04,,2,,,,threes
,19195,,,0,,,,threes
22126,19202,2022-03-29,,2,,,,threes
22120,19204,2022-03-26,,2,,,,threes
,19206,,,0,,,,threes
22240,19210,2022-04-21,,2,,,,threes
,19215,,,0,,,,threes
22002,19221,2022-03-04,,1,,,,threes
22005,19222,2022-03-05,,1,,,,threes
22116,19223,2022-03-28,1,2,,,,threes
22138,19234,2022-04-03,,2,,,,threes
22201,19236,2022-04-06,,2,,,,threes
22153,19237,2022-04-02,,2,,,,threes
22177,18269,2022-04-07,,2,,,,youngs
22278,18240,2022-05-16,,2,,,1,youngs
22047,18235,2022-03-14,,1,,,,youngs
22247,18227,2022-04-25,,2,,,1,youngs
22156,18226,2022-03-31,,2,,,,youngs
22188,18225,2022-04-11,,2,,,,youngs
22031,18224,2022-03-11,,1,,,,youngs
22065,18202,2022-03-18,,1,,,,youngs
22164,18198,2022-04-05,,2,,,,youngs
22089,18197,2022-03-23,,1,,,,youngs
22190,18188,2022-04-11,,2,,,1,youngs
22035,18185,2022-03-12,,2,,,1,youngs
22045,18178,2022-03-16,,1,,,,youngs
22169,18176,2022-04-06,,2,,,1,youngs
22068,18174,2022-03-21,,2,,,1,youngs
22041,18172,2022-03-14,,2,,,1,youngs
22055,18154,2022-03-18,,1,,,,youngs
22174,18144,2022-04-06,,2,,,,youngs
22088,18140,2022-03-23,,2,,,,youngs
22242,18137,2022-04-24,,2,,,1,youngs
22158,18135,2022-04-04,,2,,,,youngs
22052,18134,2022-03-17,,1,,,,youngs
