calfID,cowID,DOB,calf_died,AI,Preg_loss,Twin,No_breed,Group
22298,8481,2022-09-05,,1,,,,falls
,8527,,,,1,,,falls
22312,8839,2022-09-08,,1,,,,falls
,9025,,,0,,,1,falls
22353,10053,2022-09-28,,2,,,,falls
22366,10109,2022-09-30,,2,,,,falls
22388,10233,2022-11-07,,2,,,,falls
,10347,,,,1,,,falls
22362,10401,2022-09-29,1,2,,,,falls
22357,10451,2022-09-29,,2,,,,falls
22380,11031,2022-10-20,,2,,,,falls
22336,11047,2022-09-24,,2,,,,falls
22293,12121,2022-09-03,,1,,,,falls
22385,12185,2022-10-28,,2,,,,falls
22291,12245,2022-08-31,,1,,,,falls
22297,12261,2022-09-04,,1,,,,falls
22381,12415,2022-10-24,,2,,,1,falls
22349,13049,2022-09-27,,2,,,,falls
,13051,,,0,,,,falls
22359,13097,2022-09-28,,2,,,,falls
22342,13105,2022-09-26,,2,,,,falls
22339,13131,2022-09-26,,2,,,,falls
22324,13143,2022-09-11,,1,,,,falls
22286,13169,2022-08-29,,1,,,,falls
22384,13201,2022-10-23,,2,,,,falls
22365,13213,2022-10-01,,2,,,,falls
,13373,,,0,,,,falls
22301,13391,2022-09-06,,1,,,,falls
22354,14037,2022-09-28,,2,,,1,falls
22361,14061,2022-09-30,,2,,,1,falls
22346,14079,2022-09-23,,2,,,,falls
22296,14083,2022-09-04,,1,,,,falls
22356,14091,2022-09-29,,2,,,,falls
22322,14095,2022-09-11,,1,,,,falls
22331,14099,2022-09-24,,2,,,,falls
22347,14149,2022-09-27,,2,,,,falls
,14179,,,0,,,,falls
22295,14217,2022-09-05,,1,,,,falls
22321,14229,2022-09-12,,1,,,,falls
22310,14267,2022-09-08,,1,,,,falls
22387,14331,2022-11-08,,2,,,,falls
22327,14345,2022-09-15,,,,1,,falls
22991,14345,2022-09-15,1,1,,,,falls
22352,14347,2022-09-28,,2,,,,falls
22373,14359,2022-10-09,,2,,,,falls
22325,14363,2022-09-11,,1,,,,falls
22372,14373,2022-10-05,,2,,,,falls
22304,14377,2022-09-04,,1,,,,falls
22335,14389,2022-09-23,,2,,,,falls
22386,14399,2022-10-30,,2,,,,falls
22318,14417,2022-09-10,,1,,,,falls
22328,14459,2022-09-14,1,1,,,,falls
22364,14465,2022-09-29,,2,,,,falls
22369,14479,2022-10-04,,2,,,1,falls
22308,15033,2022-09-07,,1,,,,falls
22337,15065,2022-09-26,,2,,,1,falls
22351,15087,2022-09-28,1,2,,,,falls
22332,15115,2022-09-23,,2,,,,falls
22315,15129,2022-09-10,,1,,,,falls
22989,15149,2022-11-07,1,2,,,,falls
22338,15151,2022-09-26,,2,,,,falls
22370,15197,2022-09-30,,2,,,,falls
22341,15205,2022-09-26,,2,,,,falls
22355,15209,2022-09-29,,2,,,,falls
22306,15269,2022-09-06,,1,,,,falls
22290,15283,2022-09-01,,1,,,,falls
22299,15331,2022-09-04,,1,,,,falls
22319,15355,2022-09-09,,1,,,,falls
22382,15469,2022-10-27,,2,,,,falls
22333,15471,2022-09-24,,2,,,,falls
22340,15485,2022-09-26,,2,,,,falls
,15511,,,0,,,,falls
22367,15515,2022-09-30,,2,,,,falls
22330,16027,2022-09-25,1,2,,,,falls
22368,16045,2022-10-01,,2,,,1,falls
22282,16047,2022-08-15,,1,,,,falls
,16097,,,,1,,,falls
22287,16145,2022-08-31,,1,,,,falls
22377,16197,2022-10-14,,2,,,,falls
22289,16205,2022-09-01,,1,,,,falls
22284,16207,2022-08-26,1,1,,,,falls
22305,16233,2022-09-06,,1,,,,falls
22343,16307,2022-09-26,,2,,,,falls
22316,16319,2022-09-10,,1,,,,falls
22326,16329,2022-09-12,,1,,,,falls
22314,16345,2022-09-10,,1,,,,falls
22363,16363,2022-09-30,,2,,,,falls
22323,16367,2022-09-12,,1,,,,falls
22300,16421,2022-09-05,,1,,,,falls
22374,16425,2022-10-13,,2,,,,falls
22294,16463,2022-09-02,,1,,,,falls
,16475,,,,1,,,falls
,16477,,,0,,,,falls
22378,16495,2022-10-14,,2,,,,falls
22371,17010,2022-10-04,,2,,,,falls
22379,17022,2022-10-19,,2,,,,falls
22320,17050,2022-09-09,,1,,,,falls
22302,17071,2022-09-06,,1,,,,falls
,17075,,,,1,,,falls
22288,17076,2022-08-31,,1,,,,falls
22283,17103,2022-08-26,,1,,,,falls
22360,17151,2022-09-29,,2,,,,falls
22309,17160,2022-09-07,,1,,,,falls
22313,17167,2022-09-09,,1,,,,falls
22317,17209,2022-09-09,,1,,,,falls
22990,18033,2022-09-26,1,2,,,,falls
22383,18053,2022-10-25,,2,,,,falls
22303,18062,2022-09-05,,1,,,,falls
,18082,,,,1,,,falls
22285,18101,2022-08-29,,1,,,,falls
22311,18146,2022-09-08,,1,,,,falls
22345,18158,2022-09-26,,2,,,,falls
22307,18171,2022-09-06,,1,,,,falls
22376,18183,2022-10-15,,2,,,,falls
22334,18195,2022-09-24,,2,,,,falls
22358,18199,2022-09-29,,2,,,,falls
22375,18217,2022-10-14,,2,,,,falls
22344,18221,2022-09-26,1,2,,,,falls
,18270,,,0,,,,falls
22292,19032,2022-09-01,,1,,,,falls
22348,19195,2022-09-27,,2,,,,falls
22329,19206,2022-09-21,,2,,,,falls
22350,19215,2022-09-28,,2,,,,falls
